ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Fecha en que empieza el precio rebajado,Fecha en que termina el precio de oferta,Estado del impuesto,Clase de impuesto,¿En stock?,Stock,Cantidad de bajo stock,¿Permitir reservas de productos agotados?,Vendido Individualmente?,Peso (kg),Longitud (cm),Ancho (cm),Altura (cm),¿Permitir reseñas de clientes?,Notas de la compra,Precio de oferta,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición
12200,simple,120000144,BOQUILLA CHICA N R3 PARPEN X1,1,0,visible,,"<div>\n<div>RIZADO FINO</div>\n</div>",,,taxable,,1,26,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/04/BOQUILLA-CHICA-N-R3-PARPEN-X1-0120000144.png,,,,,,,,,0
12201,simple,120000145,BOQUILLA CHICA N R4 PARPEN X1,1,0,visible,,"<div>\n<div>RIZADO FINO</div>\n</div>",,,taxable,,1,14,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/04/BOQUILLA-CHICA-N-R4-PARPEN-X1-0120000145.png,,,,,,,,,0
12202,simple,120000146,BOQUILLA CHICA N R5 PARPEN X1,1,0,visible,,"<div>\n<div>RIZADO FINO</div>\n</div>",,,taxable,,1,19,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/04/BOQUILLA-CHICA-N-R5-PARPEN-X1-0120000146.png,,,,,,,,,0
12203,simple,120000147,BOQUILLA CHICA N R6 PARPEN X1,1,0,visible,,"<div>\n<div>RIZADO FINO</div>\n</div>",,,taxable,,1,24,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/04/BOQUILLA-CHICA-N-R6-PARPEN-X1-0120000147.png,,,,,,,,,0
12204,simple,120000148,BOQUILLA CHICA N R7 PARPEN X1,1,0,visible,,"<div>\n<div>RIZADO FINO</div>\n</div>",,,taxable,,1,24,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/04/BOQUILLA-CHICA-N-R7-PARPEN-X1-0120000148.png,,,,,,,,,0
12205,simple,120000149,BOQUILLA CHICA N R8 PARPEN X1,1,0,visible,,"<div>\n<div>RIZADO FINO</div>\n</div>",,,taxable,,1,18,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/04/BOQUILLA-CHICA-N-R8-PARPEN-X1-0120000149.png,,,,,,,,,0
12206,simple,120000150,BOQUILLA CHICA N R9 PARPEN X1,1,0,visible,,"<div>\n<div>RIZADO FINO</div>\n</div>",,,taxable,,1,24,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/04/BOQUILLA-CHICA-N-R9-PARPEN-X1-0120000150.png,,,,,,,,,0
12207,simple,120000151,BOQUILLA CONFITERIA N 04 CA,1,0,visible,,<div><div>RIZADO ECO</div></div>,,,taxable,,0,,,0,0,,,,,1,,,"257,9",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-gde-nro-04-ca-0120000151-1.jpg,,,,,,,,,0
12208,simple,120000152,BOQUILLA CONFITERIA N 05 CA,1,0,visible,,<div><div>RIZADO ECO</div></div>,,,taxable,,0,,,0,0,,,,,1,,,"257,9",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-gde-nro-05-ca-0120000152-1.jpg,,,,,,,,,0
12209,simple,120000153,BOQUILLA CONFITERIA N 06 CA ,1,0,visible,,<div><div>RIZADO ECO</div></div>,,,taxable,,0,,,0,0,,,,,1,,,"257,9",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-confiteria-nro-06-ca-0120000153-1.jpg,,,,,,,,,0
12210,simple,120000154,BOQUILLA CONFITERIA N 07 CA,1,0,visible,,<div><div>RIZADO ECO</div></div>,,,taxable,,0,,,0,0,,,,,1,,,"257,9",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-confiteria-nro-07-ca-0120000154-1.jpg,,,,,,,,,0
12211,simple,120000155,BOQUILLA CONFITERIA N 08 CA,1,0,visible,,<div><div>RIZADO ECO</div></div>,,,taxable,,0,,,0,0,,,,,1,,,"257,9",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-confiteria-nro-08-ca-0120000155-1.jpg,,,,,,,,,0
12212,simple,120000156,BOQUILLA CONFITERIA N 09 CA,1,0,visible,,<div><div>RIZADO ECO</div></div>,,,taxable,,0,,,0,0,,,,,1,,,"257,9",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-confiteria-nro-09-ca-0120000156-1.jpg,,,,,,,,,0
12213,simple,120000157,BOQUILLA CONFITERIA N1 MYM X1,1,0,visible,,<div><div>METAL</div></div>,,,taxable,,1,25,,0,0,,,,,1,,,"373,35",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-confiteria-nro-1-mym-0120000157-1.jpg,,,,,,,,,0
12214,simple,120000158,BOQUILLA CONFITERIA N1 MYMX10,1,0,visible,,<div><div>METAL</div></div>,,,taxable,,0,,,0,0,,,,,1,,,"3733,6",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-confiteria-nro-1-mym-0120000158-1.jpg,,,,,,,,,0
12215,simple,120000159,BOQUILLA CONFITERIA N 10 CA,1,0,visible,,<div><div>RIZADO ECO</div></div>,,,taxable,,1,55,,0,0,,,,,1,,,"257,9",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-confiteria-nro-10-ca-0120000159-1.jpg,,,,,,,,,0
12216,simple,120000160,BOQUILLA CONFITERIA N10 MYM X1,1,0,visible,,<div><div>METAL</div></div>,,,taxable,,1,16,,0,0,,,,,1,,,"373,35",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-confiteria-nro-10-mym-0120000160-1.jpg,,,,,,,,,0
12217,simple,120000161,BOQUILLA CONFITERIA N10 MYMX10,1,0,visible,,<div><div>METAL</div></div>,,,taxable,,0,,,0,0,,,,,1,,,"3733,6",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-confiteria-nro-10-mym-0120000161-1.jpg,,,,,,,,,0
12218,simple,120000162,BOQUILLA CONFITERIA N11 MYM X1,1,0,visible,,<div><div>METAL</div></div>,,,taxable,,1,38,,0,0,,,,,1,,,"373,35",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-confiteria-nro-11-mym-0120000162-1.jpg,,,,,,,,,0
12219,simple,120000163,BOQUILLA CONFITERIA N11 MYMX10,1,0,visible,,<div><div>METAL</div></div>,,,taxable,,0,,,0,0,,,,,1,,,"3733,6",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-confiteria-nro-11-mym-0120000163-1.jpg,,,,,,,,,0
12220,simple,120000164,BOQUILLA GDE N 112 PARPEN X5,1,0,visible,,<div><div>HOJA</div></div>,,,taxable,,1,21,,0,0,,,,,1,,,"14423,64",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-gde-nro-112-parpen-0120000164-1.jpg,,,,,0120000165,,,,0
